Time (ms),Sound Level
0.00035190582275390625,489
0.0010619163513183594,489
0.0014719963073730469,489
0.0018570423126220703,489
0.0022559165954589844,489
0.003239870071411133,489
0.0047228336334228516,489
0.004938840866088867,489
0.005145072937011719,489
1.7059969902038574,499
1.734771966934204,500
1.7633647918701172,500
1.7920749187469482,498
1.8167548179626465,496
1.8453419208526611,495
1.8740301132202148,493
1.9026999473571777,495
1.9314799308776855,496
1.9600629806518555,493
1.9887290000915527,492
2.0133748054504395,494
2.0420610904693604,492
2.0708301067352295,492
2.0995469093322754,496
2.1279821395874023,494
2.156613826751709,491
2.1853439807891846,490
2.20991587638855,492
2.2386538982391357,491
2.2671308517456055,495
2.295742988586426,494
2.325284004211426,494
2.3530690670013428,493
2.3818700313568115,495
2.4106149673461914,492
2.4352569580078125,502
2.4639248847961426,502
2.492565870285034,489
2.5210659503936768,495
2.5499069690704346,498
2.5785939693450928,495
2.6073060035705566,490
2.6319470405578613,493
2.660494804382324,493
2.6891908645629883,493
2.7178847789764404,492
2.746323823928833,493
2.774979829788208,495
2.803769826889038,493
2.8284690380096436,492
2.8571667671203613,494
2.8858489990234375,493
2.9144787788391113,493
2.943166971206665,492
2.9716098308563232,493
3.0004448890686035,493
3.0249218940734863,492
3.0536508560180664,494
3.0823819637298584,493
3.1109349727630615,494
3.139737844467163,494
3.16839599609375,492
3.1970207691192627,493
3.221691846847534,494
3.250307083129883,492
3.279006004333496,492
3.307708978652954,493
3.3363518714904785,493
3.365065813064575,493
3.3935048580169678,493
3.422226905822754,493
3.4469339847564697,493
3.4756417274475098,493
3.5043158531188965,493
3.532799005508423,493
3.561645030975342,493
3.590334892272949,493
3.6188409328460693,493
3.6438379287719727,493
3.6721949577331543,492
3.700953722000122,492
3.7296698093414307,492
3.7582767009735107,492
3.7867510318756104,493
3.816133737564087,492
3.840230941772461,493
3.868945837020874,493
3.8973660469055176,493
3.926297903060913,494
3.9548637866973877,493
3.983442783355713,493
4.012206077575684,493
4.0367138385772705,493
4.065310955047607,493
